text,size
U.S.,71.775
United States,55.675
Europe,45.825
US,35.575
UK,27.85
China,27.2
New York,24.6
Australia,22.65
North America,22.6
Japan,20.175
Canada,19.9
California,19.8
India,18.275
Washington,18.125
MD,16.45






