text,size
Reuters,34
HSBC,33
CLP India,23
Ratan Tata,18
GSTN,16
Twitter,14
Facebook,12
GST Network,12
Press Trust of India,12
CMAI,11
Flipkart,11
Amazon,10
Microsoft,10
Khan Market,9
Amazon India,8



