text,size
FDA,48.95
American Cancer Society,44.875
National Cancer Institute,30.75
U.S. Food and Drug Administration,19.4
Food and Drug Administration,14.525
Securities and Exchange Commission,12.55
NHS,11.7
EU,9.575
National Institutes of Health,9.55
University of Pennsylvania,9.075
ASCO,8.575
University of California,8.025
World Health Organization,7.75
Dana-Farber Cancer Institute,7.525
European Medicines Agency,6.925






