text,size
Roche,41.5
Susan G. Komen,39.3
Sen. John McCain,23
Eli Lilly,21.9
Emily,21.4
Linda A. Johnson,20.4
Tom Whitehead,18.2
Dr. Malcolm A. Smith,17.9
Marilynn Marchione,17.8
Leslie Kahn,17.3
UniQure,17
Johns Hopkins,16.7
Dr. Richard Ambinder,16.5
Bill Gates,14.8
Jeff Bezos,14.7




